epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,824.076,0.93948,1.25806,1.27758,0.80532,0.76964,0.8414,0.60265,1.08349,0.99925,1.27895,0.0700063,0.00333263,0.00333263
2,1909.58,0.95333,1.04462,1.27693,0.81472,0.74786,0.83966,0.59151,1.15133,0.96414,1.32372,0.0399463,0.00660597,0.00660597
3,2866.72,1.0104,1.0764,1.31885,0.79267,0.71111,0.81432,0.57546,1.18157,0.99876,1.3624,0.00982634,0.00981931,0.00981931
4,3642.44,1.00991,1.06273,1.3244,0.82341,0.75438,0.84997,0.61549,1.08765,0.90918,1.30981,0.00973,0.00973,0.00973
5,4422.22,0.95216,0.97854,1.29226,0.85882,0.79725,0.8859,0.64573,1.04138,0.82225,1.25363,0.00964,0.00964,0.00964
6,5642.94,0.92423,0.92574,1.2695,0.86144,0.81982,0.89758,0.65782,1.0305,0.78043,1.23827,0.00955,0.00955,0.00955
7,6413.89,0.90372,0.88604,1.25335,0.86351,0.85043,0.91615,0.68155,0.97452,0.72877,1.19149,0.00946,0.00946,0.00946
8,7191.11,0.8825,0.85528,1.2431,0.8769,0.85526,0.91879,0.68758,0.97109,0.70622,1.18937,0.00937,0.00937,0.00937
9,7968.75,0.87791,0.84356,1.23688,0.87505,0.86549,0.92854,0.70013,0.94024,0.68136,1.15747,0.00928,0.00928,0.00928
10,8745.74,0.8616,0.81757,1.22451,0.8953,0.8701,0.9342,0.7078,0.92824,0.65389,1.14742,0.00919,0.00919,0.00919
11,9523.54,0.85463,0.80912,1.21853,0.89221,0.87756,0.93836,0.7096,0.92821,0.64087,1.14999,0.0091,0.0091,0.0091
12,10292.4,0.84547,0.79554,1.21181,0.88767,0.88991,0.94211,0.72447,0.89356,0.61899,1.12195,0.00901,0.00901,0.00901
13,11061.6,0.83913,0.78477,1.20777,0.89732,0.89812,0.94301,0.72958,0.88362,0.61418,1.11514,0.00892,0.00892,0.00892
14,11831.8,0.83459,0.7717,1.20384,0.89849,0.88805,0.94437,0.73242,0.87034,0.59267,1.10185,0.00883,0.00883,0.00883
15,12608.1,0.82461,0.76227,1.19948,0.89954,0.90015,0.94766,0.7366,0.86229,0.59058,1.09475,0.00874,0.00874,0.00874
16,13385.5,0.82151,0.75527,1.19675,0.89935,0.90537,0.95008,0.74186,0.85657,0.58016,1.09197,0.00865,0.00865,0.00865
17,14160.9,0.82016,0.74536,1.19202,0.90243,0.90536,0.95274,0.74213,0.84877,0.56876,1.08561,0.00856,0.00856,0.00856
18,14939.1,0.81445,0.74344,1.1883,0.90613,0.9076,0.95299,0.74491,0.8451,0.56266,1.0802,0.00847,0.00847,0.00847
19,15713.5,0.81171,0.7361,1.18547,0.90438,0.90847,0.95424,0.7473,0.84058,0.55888,1.07685,0.00838,0.00838,0.00838
20,16478.8,0.80857,0.72755,1.18374,0.90528,0.9122,0.95555,0.7495,0.8397,0.55898,1.07627,0.00829,0.00829,0.00829
21,17242.3,0.7992,0.72433,1.17964,0.90186,0.91758,0.956,0.75203,0.83503,0.55513,1.07401,0.0082,0.0082,0.0082
22,18009.9,0.79912,0.71748,1.1802,0.90779,0.9127,0.95708,0.75445,0.83013,0.5517,1.07055,0.00811,0.00811,0.00811
