epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.486,0.79526,1.19793,1.23511,0.89025,0.85824,0.91281,0.73262,0.74867,0.80594,1.12772,0.0700283,0.00333019,0.00333019
2,340.72,0.81465,0.90659,1.23108,0.88588,0.85714,0.91632,0.70479,0.86616,0.75466,1.23232,0.0399684,0.00660355,0.00660355
3,502.999,0.87652,0.88158,1.26195,0.84789,0.82081,0.86965,0.63576,0.96119,0.86562,1.32336,0.00984839,0.00981691,0.00981691
4,664.495,0.91289,0.89968,1.28555,0.87574,0.82198,0.89252,0.67297,1.00505,0.80413,1.39992,0.00973,0.00973,0.00973
5,827.261,0.8746,0.83762,1.26434,0.85547,0.81958,0.8998,0.66267,0.99799,0.81433,1.2994,0.00964,0.00964,0.00964
6,990.705,0.84221,0.80113,1.24475,0.89002,0.86593,0.92002,0.69177,0.97095,0.67574,1.29079,0.00955,0.00955,0.00955
7,1154.74,0.82589,0.77553,1.24595,0.89922,0.86287,0.92637,0.7279,0.84148,0.65645,1.18679,0.00946,0.00946,0.00946
8,1318.13,0.79222,0.7373,1.22263,0.87806,0.86374,0.92294,0.70692,0.90074,0.62974,1.23706,0.00937,0.00937,0.00937
9,1482.41,0.79027,0.72906,1.21904,0.89406,0.85495,0.92285,0.72389,0.84525,0.63291,1.19189,0.00928,0.00928,0.00928
10,1645.76,0.77472,0.71404,1.21361,0.8933,0.88681,0.93219,0.74025,0.83838,0.60041,1.17672,0.00919,0.00919,0.00919
11,1806.16,0.76153,0.69823,1.20292,0.90926,0.88092,0.93299,0.73919,0.87031,0.61049,1.21545,0.0091,0.0091,0.0091
12,1966.13,0.75678,0.69065,1.20201,0.92199,0.85824,0.92817,0.7307,0.8545,0.61226,1.20021,0.00901,0.00901,0.00901
13,2126.36,0.74572,0.67295,1.19047,0.91879,0.88571,0.94805,0.75448,0.79649,0.58175,1.15349,0.00892,0.00892,0.00892
14,2286.75,0.73165,0.65833,1.18176,0.9056,0.88352,0.94506,0.75194,0.80916,0.59279,1.14042,0.00883,0.00883,0.00883
15,2447.87,0.72741,0.65388,1.18141,0.93524,0.87278,0.9361,0.75183,0.81202,0.573,1.17431,0.00874,0.00874,0.00874
16,2607.7,0.72204,0.64743,1.17751,0.90266,0.88462,0.94447,0.76128,0.77394,0.55322,1.11503,0.00865,0.00865,0.00865
17,2767.85,0.72123,0.6414,1.18076,0.90107,0.90082,0.94387,0.77185,0.7796,0.56099,1.15953,0.00856,0.00856,0.00856
18,2928.34,0.71112,0.63242,1.17172,0.91059,0.90651,0.94973,0.76569,0.77193,0.52786,1.10687,0.00847,0.00847,0.00847
19,3088.26,0.70673,0.62907,1.17253,0.93549,0.89234,0.94774,0.77534,0.75881,0.50933,1.10141,0.00838,0.00838,0.00838
20,3248.16,0.71167,0.62983,1.17222,0.89355,0.90549,0.94826,0.76222,0.75176,0.54555,1.11423,0.00829,0.00829,0.00829
21,3408.91,0.70704,0.61574,1.16853,0.92829,0.88197,0.94439,0.78623,0.71598,0.51249,1.09227,0.0082,0.0082,0.0082
22,3568.89,0.69864,0.60816,1.16435,0.92831,0.9,0.95443,0.78152,0.74533,0.5192,1.09901,0.00811,0.00811,0.00811
23,3729.47,0.69645,0.60065,1.1622,0.934,0.90192,0.95642,0.79284,0.72378,0.51936,1.08617,0.00802,0.00802,0.00802
24,3889.42,0.67912,0.58914,1.1499,0.92659,0.90152,0.95451,0.78959,0.70893,0.52798,1.0785,0.00793,0.00793,0.00793
25,4049.53,0.67916,0.59825,1.15779,0.91985,0.90808,0.95346,0.79162,0.71786,0.52049,1.09521,0.00784,0.00784,0.00784
26,4210.26,0.67978,0.59384,1.15421,0.92944,0.89752,0.95031,0.78536,0.72595,0.51287,1.0859,0.00775,0.00775,0.00775
27,4370.34,0.67751,0.58488,1.14836,0.93907,0.88681,0.95472,0.78551,0.72961,0.51799,1.09092,0.00766,0.00766,0.00766
28,4538.8,0.67405,0.58257,1.14694,0.93163,0.91339,0.96224,0.7902,0.73008,0.50536,1.08956,0.00757,0.00757,0.00757
29,4698.97,0.66302,0.56772,1.14346,0.93485,0.91453,0.95718,0.80477,0.6871,0.50536,1.04699,0.00748,0.00748,0.00748
30,4859.49,0.66472,0.57341,1.14503,0.92194,0.91099,0.95625,0.79839,0.71473,0.50586,1.06493,0.00739,0.00739,0.00739
31,5020.89,0.66044,0.57213,1.14087,0.94428,0.9,0.96015,0.79666,0.71591,0.46963,1.08293,0.0073,0.0073,0.0073
32,5182.16,0.66421,0.5679,1.14643,0.94307,0.90989,0.96376,0.80741,0.69461,0.4896,1.05954,0.00721,0.00721,0.00721
33,5343,0.66275,0.56698,1.14438,0.93669,0.91044,0.96261,0.79626,0.7218,0.50128,1.07048,0.00712,0.00712,0.00712
34,5503.45,0.65539,0.5528,1.13455,0.92791,0.91978,0.96423,0.80936,0.69358,0.51551,1.05317,0.00703,0.00703,0.00703
35,5664.6,0.65642,0.5532,1.13582,0.90489,0.90961,0.9568,0.78606,0.72196,0.49163,1.07147,0.00694,0.00694,0.00694
36,5826.25,0.64979,0.55173,1.13138,0.94402,0.90989,0.96239,0.80422,0.6855,0.47446,1.04203,0.00685,0.00685,0.00685
37,5998.13,0.64948,0.55236,1.13398,0.93806,0.91537,0.9641,0.80863,0.68304,0.48925,1.03895,0.00676,0.00676,0.00676
38,6173.69,0.65287,0.54189,1.1315,0.94222,0.91398,0.9645,0.81899,0.67604,0.49694,1.04123,0.00667,0.00667,0.00667
39,6349.91,0.63896,0.53722,1.12629,0.95022,0.91648,0.96437,0.81305,0.68708,0.47452,1.05408,0.00658,0.00658,0.00658
40,6525.61,0.63947,0.54015,1.13099,0.93037,0.92506,0.96747,0.80839,0.68933,0.4726,1.04739,0.00649,0.00649,0.00649
41,6699.98,0.63851,0.53062,1.12778,0.95265,0.91099,0.96455,0.81927,0.68781,0.4749,1.04728,0.0064,0.0064,0.0064
42,6867.61,0.63136,0.53012,1.12143,0.94135,0.92637,0.9631,0.8106,0.68352,0.47037,1.04177,0.00631,0.00631,0.00631
43,7028.05,0.63177,0.52595,1.12323,0.94611,0.92527,0.96627,0.81368,0.69305,0.46908,1.04128,0.00622,0.00622,0.00622
44,7189.18,0.63684,0.53103,1.12278,0.94518,0.93077,0.96542,0.80166,0.70734,0.45586,1.05868,0.00613,0.00613,0.00613
45,7350.2,0.63053,0.52681,1.12183,0.92626,0.93736,0.96848,0.82028,0.67184,0.46035,1.03859,0.00604,0.00604,0.00604
46,7511.06,0.62566,0.52627,1.11614,0.95026,0.92377,0.96849,0.81927,0.67429,0.4496,1.02876,0.00595,0.00595,0.00595
47,7671.55,0.63141,0.52926,1.12307,0.93979,0.92626,0.96459,0.82151,0.67385,0.44473,1.03342,0.00586,0.00586,0.00586
48,7832.09,0.62879,0.52334,1.12109,0.94384,0.92337,0.96452,0.81989,0.67497,0.46545,1.03509,0.00577,0.00577,0.00577
